episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-23.0,100,0,0,0
2,-16.0,100,1,0,0
3,-9.0,100,0,0,0
4,-13.0,100,1,0,0
5,-5.0,100,2,0,0
6,-4.0,100,1,0,0
7,-5.0,100,1,0,0
8,9.0,66,0,1,1
9,-3.0,100,1,0,0
10,-3.0,100,2,0,0
11,-4.0,100,1,0,0
12,-2.0,100,0,0,0
13,-5.0,100,0,0,0
14,-1.0,100,0,0,0
15,-2.0,100,1,0,0
16,-1.0,100,0,0,0
17,-2.0,100,1,0,0
18,-3.0,100,1,0,0
19,-3.0,100,1,0,0
20,-2.0,100,1,0,0
21,-3.0,100,1,0,0
22,-3.0,100,1,0,0
23,-3.0,100,1,0,0
24,-2.0,100,0,0,0
25,-2.0,100,1,0,0
26,-3.0,100,2,0,0
27,-2.0,100,1,0,0
28,-2.0,100,1,0,0
29,-3.0,100,1,0,0
30,-3.0,100,1,0,0
31,-3.0,100,2,0,0
32,-2.0,100,1,0,0
33,-3.0,100,2,0,0
34,-2.0,100,1,0,0
35,-2.0,100,1,0,0
36,-3.0,100,1,0,0
37,-1.0,100,0,0,0
38,-1.0,100,0,0,0
39,-1.0,100,0,0,0
40,-1.0,100,0,0,0
41,-2.0,100,1,0,0
42,-2.0,100,1,0,0
43,-2.0,100,1,0,0
44,-3.0,100,2,0,0
45,-2.0,100,1,0,0
46,-2.0,100,1,0,0
47,-2.0,100,1,0,0
48,-2.0,100,1,0,0
49,-1.0,100,0,0,0
50,-1.0,100,0,0,0
51,-2.0,100,0,0,0
52,-1.0,100,0,0,0
53,-1.0,100,0,0,0
54,-2.0,100,1,0,0
55,-1.0,100,0,0,0
56,-2.0,100,1,0,0
57,-2.0,100,1,0,0
58,-1.0,100,0,0,0
59,-3.0,100,2,0,0
60,-2.0,100,1,0,0
61,-2.0,100,1,0,0
62,-1.0,100,0,0,0
63,-1.0,100,0,0,0
64,-3.0,100,2,0,0
65,-2.0,100,1,0,0
66,-1.0,100,0,0,0
67,-1.0,100,0,0,0
68,-1.0,100,0,0,0
69,-1.0,100,0,0,0
70,-1.0,100,0,0,0
71,-2.0,100,1,0,0
72,-1.0,100,0,0,0
73,-1.0,100,0,0,0
74,-2.0,100,1,0,0
75,-1.0,100,0,0,0
76,-2.0,100,1,0,0
77,-1.0,100,0,0,0
78,-2.0,100,1,0,0
79,-1.0,100,0,0,0
80,-2.0,100,1,0,0
81,-2.0,100,1,0,0
82,-2.0,100,1,0,0
83,-1.0,100,0,0,0
84,-2.0,100,1,0,0
85,-1.0,100,0,0,0
86,-1.0,100,0,0,0
87,-2.0,100,1,0,0
88,-1.0,100,0,0,0
89,-1.0,100,0,0,0
90,-1.0,100,0,0,0
91,-1.0,100,0,0,0
92,-2.0,100,0,0,0
93,-2.0,100,1,0,0
94,-1.0,100,0,0,0
95,-2.0,100,1,0,0
96,-2.0,100,1,0,0
97,-1.0,100,0,0,0
98,-2.0,100,1,0,0
99,-2.0,100,1,0,0
100,-1.0,100,0,0,0
101,-3.0,100,2,0,0
102,-1.0,100,0,0,0
103,-1.0,100,0,0,0
104,-1.0,100,0,0,0
105,-2.0,100,1,0,0
106,-1.0,100,0,0,0
107,-1.0,100,0,0,0
108,-2.0,100,1,0,0
109,-2.0,100,1,0,0
110,-2.0,100,0,0,0
111,-2.0,100,1,0,0
112,-2.0,100,1,0,0
113,-1.0,100,0,0,0
114,-3.0,100,2,0,0
115,-1.0,100,0,0,0
116,-2.0,100,1,0,0
117,-1.0,100,0,0,0
118,-1.0,100,0,0,0
119,-2.0,100,1,0,0
120,-1.0,100,0,0,0
121,-1.0,100,0,0,0
122,-2.0,100,1,0,0
123,-1.0,100,0,0,0
124,-2.0,100,1,0,0
125,-1.0,100,0,0,0
126,-2.0,100,1,0,0
127,-1.0,100,0,0,0
128,-3.0,100,2,0,0
129,-2.0,100,1,0,0
130,-1.0,100,0,0,0
131,-2.0,100,1,0,0
132,-2.0,100,1,0,0
133,-1.0,100,0,0,0
134,-3.0,100,0,0,0
135,-1.0,100,0,0,0
136,-1.0,100,0,0,0
137,-1.0,100,0,0,0
138,-1.0,100,0,0,0
139,-1.0,100,0,0,0
140,-1.0,100,0,0,0
141,-1.0,100,0,0,0
142,-2.0,100,1,0,0
143,-2.0,100,0,0,0
144,-1.0,100,0,0,0
145,-2.0,100,1,0,0
146,-3.0,100,2,0,0
147,-1.0,100,0,0,0
148,-2.0,100,1,0,0
149,-2.0,100,1,0,0
150,-2.0,100,1,0,0
151,-1.0,100,0,0,0
152,-3.0,100,1,0,0
153,-1.0,100,0,0,0
154,-1.0,100,0,0,0
155,-1.0,100,0,0,0
156,-2.0,100,0,0,0
157,-1.0,100,0,0,0
158,-1.0,100,0,0,0
159,-1.0,100,0,0,0
160,-1.0,100,0,0,0
161,-1.0,100,0,0,0
162,-1.0,100,0,0,0
163,-3.0,100,0,0,0
164,-1.0,100,0,0,0
165,-1.0,100,0,0,0
166,-2.0,100,1,0,0
167,-1.0,100,0,0,0
168,-3.0,100,1,0,0
169,-2.0,100,1,0,0
170,-1.0,100,0,0,0
171,-1.0,100,0,0,0
