episode,reward,length,chains_broken,chain_progressed,chains_completed,Value,Step,Wall time
1,-32.0,150,1,0,0,,,
2,-21.0,150,2,0,0,,,
3,2.0,67,0,1,1,,,
4,-18.0,150,2,0,0,,,
5,-8.0,150,2,0,0,,,
6,-10.0,150,1,0,0,,,
7,-7.0,150,1,0,0,,,
8,-7.0,150,2,0,0,,,
9,-8.0,150,2,0,0,,,
10,-4.0,150,2,0,0,,,
11,-3.0,150,1,0,0,,,
12,-2.0,150,1,0,0,,,
13,-2.0,150,0,0,0,,,
14,10.0,133,0,1,1,,,
15,-2.0,150,1,0,0,,,
16,-2.0,150,0,0,0,,,
17,-2.0,150,1,0,0,,,
18,-1.0,150,0,0,0,,,
19,-1.0,150,0,0,0,,,
20,-2.0,150,1,0,0,,,
21,-2.0,150,1,0,0,,,
22,-2.0,150,1,0,0,,,
23,-3.0,150,1,0,0,,,
24,-2.0,150,1,0,0,,,
25,-1.0,150,0,0,0,,,
26,-4.0,150,2,0,0,,,
27,-2.0,150,1,0,0,,,
28,-3.0,150,1,0,0,,,
29,-1.0,150,0,0,0,,,
30,-2.0,150,1,0,0,,,
31,-2.0,150,1,0,0,,,
32,-3.0,150,2,0,0,,,
33,-6.0,150,1,0,0,,,
34,-2.0,150,1,0,0,,,
35,-2.0,150,1,0,0,,,
36,-2.0,150,1,0,0,,,
37,-1.0,150,0,0,0,,,
38,-1.0,150,0,0,0,,,
39,-1.0,150,0,0,0,,,
40,-1.0,150,0,0,0,,,
41,-1.0,150,0,0,0,,,
42,-2.0,150,1,0,0,,,
43,-2.0,150,1,0,0,,,
44,-3.0,150,2,0,0,,,
45,-3.0,150,1,0,0,,,
46,-3.0,150,2,0,0,,,
47,-2.0,150,1,0,0,,,
48,-2.0,150,1,0,0,,,
49,-2.0,150,1,0,0,,,
50,-1.0,150,0,0,0,,,
51,-1.0,150,0,0,0,,,
52,-2.0,150,1,0,0,,,
53,-1.0,150,0,0,0,,,
54,-2.0,150,1,0,0,,,
55,-1.0,150,0,0,0,,,
56,-3.0,150,1,0,0,,,
57,-1.0,150,0,0,0,,,
58,-1.0,150,0,0,0,,,
59,-4.0,150,2,0,0,,,
60,-3.0,150,1,0,0,,,
61,-2.0,150,1,0,0,,,
62,-1.0,150,0,0,0,,,
63,-1.0,150,0,0,0,,,
64,-2.0,150,1,0,0,,,
65,-2.0,150,0,0,0,,,
66,-1.0,150,0,0,0,,,
67,-2.0,150,1,0,0,,,
68,-1.0,150,0,0,0,,,
69,-1.0,150,0,0,0,,,
70,-2.0,150,0,0,0,,,
71,-3.0,150,2,0,0,,,
72,-1.0,150,0,0,0,,,
73,-1.0,150,0,0,0,,,
74,-1.0,150,0,0,0,,,
75,-2.0,150,1,0,0,,,
76,-2.0,150,1,0,0,,,
77,-2.0,150,1,0,0,,,
78,-2.0,150,1,0,0,,,
79,-2.0,150,1,0,0,,,
80,-2.0,150,1,0,0,,,
81,-2.0,150,1,0,0,,,
82,-3.0,150,2,0,0,,,
83,-2.0,150,1,0,0,,,
84,-1.0,150,0,0,0,,,
85,-2.0,150,1,0,0,,,
86,-1.0,150,0,0,0,,,
87,-1.0,150,0,0,0,,,
88,-1.0,150,0,0,0,,,
89,-2.0,150,0,0,0,,,
90,-4.0,150,0,0,0,,,
91,-2.0,150,1,0,0,,,
92,-1.0,150,0,0,0,,,
93,-2.0,150,1,0,0,,,
94,-1.0,150,0,0,0,,,
95,-4.0,150,1,0,0,,,
96,-2.0,150,1,0,0,,,
97,-1.0,150,0,0,0,,,
98,-2.0,150,1,0,0,,,
99,-7.0,150,0,0,0,,,
100,-6.0,150,0,0,0,,,
101,-3.0,150,2,0,0,,,
102,-1.0,150,0,0,0,,,
103,-6.0,150,0,0,0,,,
104,-2.0,150,1,0,0,,,
105,-1.0,150,0,0,0,,,
106,-3.0,150,0,0,0,,,
107,-3.0,150,0,0,0,,,
108,-2.0,150,1,0,0,,,
109,-1.0,150,0,0,0,,,
110,-1.0,150,0,0,0,,,
111,-10.0,150,1,0,0,,,
112,-2.0,150,1,0,0,,,
113,-1.0,150,0,0,0,,,
114,-3.0,150,2,0,0,,,
115,-2.0,150,1,0,0,,,
116,-3.0,150,2,0,0,,,
117,-1.0,150,0,0,0,,,
118,-1.0,150,0,0,0,,,
119,-4.0,150,2,0,0,,,
120,-1.0,150,0,0,0,,,
121,-6.0,150,0,0,0,,,
122,-5.0,150,1,0,0,,,
123,-2.0,150,0,0,0,,,
124,-2.0,150,1,0,0,,,
125,-2.0,150,1,0,0,,,
126,-10.0,150,1,0,0,,,
127,-2.0,150,0,0,0,,,
128,-3.0,150,1,0,0,,,
129,-4.0,150,1,0,0,,,
130,-1.0,150,0,0,0,,,
131,-5.0,150,0,0,0,,,
132,-2.0,150,1,0,0,,,
133,-1.0,150,0,0,0,,,
134,-1.0,150,0,0,0,,,
135,-2.0,150,1,0,0,,,
136,-1.0,150,0,0,0,,,
137,-1.0,150,0,0,0,,,
138,-1.0,150,0,0,0,,,
139,-1.0,150,0,0,0,,,
140,-1.0,150,0,0,0,,,
141,-2.0,150,1,0,0,,,
