episode,reward,length,chains_broken,chain_progressed,chains_completed
1,10.0,65,0,1,1
2,10.0,70,0,1,1
3,10.0,63,0,1,1
4,10.0,68,0,1,1
5,10.0,94,0,1,1
6,10.0,65,0,1,1
7,10.0,67,0,1,1
8,10.0,70,0,1,1
9,10.0,64,0,1,1
10,-2.0,67,2,0,0
11,9.0,67,0,1,1
12,10.0,66,0,1,1
13,10.0,65,0,1,1
14,10.0,71,0,1,1
15,10.0,63,0,1,1
16,10.0,64,0,1,1
17,10.0,69,0,1,1
18,9.0,65,0,1,1
19,10.0,68,0,1,1
20,10.0,65,0,1,1
21,10.0,68,0,1,1
22,10.0,68,0,1,1
23,9.0,66,0,1,1
24,10.0,63,0,1,1
25,10.0,66,0,1,1
26,10.0,69,0,1,1
27,10.0,64,0,1,1
28,10.0,64,0,1,1
29,10.0,66,0,1,1
30,10.0,65,0,1,1
31,10.0,65,0,1,1
32,10.0,64,0,1,1
33,10.0,66,0,1,1
34,10.0,66,0,1,1
35,10.0,63,0,1,1
36,10.0,67,0,1,1
37,10.0,64,0,1,1
38,10.0,66,0,1,1
39,10.0,65,0,1,1
40,10.0,68,0,1,1
41,10.0,72,0,1,1
42,10.0,71,0,1,1
43,10.0,66,0,1,1
44,10.0,71,0,1,1
45,10.0,69,0,1,1
46,10.0,66,0,1,1
47,10.0,70,0,1,1
48,10.0,66,0,1,1
49,10.0,63,0,1,1
50,10.0,68,0,1,1
51,10.0,70,0,1,1
52,10.0,65,0,1,1
53,10.0,67,0,1,1
54,9.0,72,0,1,1
55,10.0,72,0,1,1
56,10.0,64,0,1,1
57,10.0,70,0,1,1
58,8.0,67,0,1,1
59,10.0,63,0,1,1
60,10.0,67,0,1,1
61,10.0,70,0,1,1
62,10.0,65,0,1,1
63,9.0,80,0,1,1
64,10.0,63,0,1,1
65,10.0,65,0,1,1
66,-2.0,133,2,0,0
67,10.0,66,0,1,1
68,10.0,68,0,1,1
69,10.0,65,0,1,1
70,10.0,68,0,1,1
71,10.0,70,0,1,1
72,10.0,66,0,1,1
73,-1.0,150,0,0,0
74,10.0,66,0,1,1
75,10.0,66,0,1,1
76,10.0,68,0,1,1
77,10.0,72,0,1,1
78,10.0,71,0,1,1
79,10.0,67,0,1,1
80,10.0,64,0,1,1
81,10.0,63,0,1,1
82,10.0,71,0,1,1
83,10.0,65,0,1,1
84,10.0,66,0,1,1
85,10.0,66,0,1,1
86,9.0,68,0,1,1
87,10.0,64,0,1,1
88,9.0,68,0,1,1
89,-2.0,69,2,0,0
90,10.0,66,0,1,1
91,10.0,67,0,1,1
92,10.0,68,0,1,1
93,10.0,68,0,1,1
94,10.0,65,0,1,1
95,10.0,66,0,1,1
96,10.0,71,0,1,1
97,10.0,68,0,1,1
98,-1.0,150,0,0,0
99,9.0,67,0,1,1
100,10.0,67,0,1,1
101,10.0,68,0,1,1
102,10.0,69,0,1,1
103,10.0,66,0,1,1
104,10.0,69,0,1,1
105,10.0,67,0,1,1
106,10.0,68,0,1,1
107,-17.0,150,1,0,0
108,10.0,70,0,1,1
109,10.0,67,0,1,1
110,10.0,66,0,1,1
111,10.0,71,0,1,1
112,10.0,71,0,1,1
113,10.0,63,0,1,1
114,10.0,64,0,1,1
115,10.0,71,0,1,1
116,9.0,68,0,1,1
117,10.0,70,0,1,1
118,10.0,68,0,1,1
119,10.0,69,0,1,1
120,10.0,64,0,1,1
121,10.0,64,0,1,1
122,10.0,65,0,1,1
123,10.0,67,0,1,1
124,10.0,67,0,1,1
125,10.0,65,0,1,1
126,10.0,67,0,1,1
127,10.0,65,0,1,1
128,10.0,69,0,1,1
129,-2.0,67,2,0,0
130,10.0,64,0,1,1
131,10.0,61,0,1,1
132,9.0,66,0,1,1
133,9.0,73,0,1,1
134,10.0,66,0,1,1
135,10.0,67,0,1,1
136,10.0,63,0,1,1
137,10.0,66,0,1,1
138,9.0,64,0,1,1
139,10.0,64,0,1,1
140,10.0,70,0,1,1
141,10.0,67,0,1,1
142,10.0,67,0,1,1
143,10.0,68,0,1,1
144,-1.0,150,0,0,0
145,10.0,63,0,1,1
146,10.0,66,0,1,1
147,10.0,67,0,1,1
148,10.0,68,0,1,1
149,10.0,71,0,1,1
150,-2.0,66,2,0,0
151,10.0,65,0,1,1
152,10.0,67,0,1,1
153,10.0,71,0,1,1
154,10.0,65,0,1,1
155,10.0,62,0,1,1
156,10.0,67,0,1,1
157,10.0,65,0,1,1
158,-2.0,74,1,0,0
159,-3.0,78,2,0,0
160,9.0,71,0,1,1
161,10.0,67,0,1,1
162,10.0,65,0,1,1
163,10.0,69,0,1,1
164,10.0,61,0,1,1
165,-5.0,71,2,0,0
166,10.0,65,0,1,1
167,10.0,65,0,1,1
168,10.0,68,0,1,1
169,10.0,70,0,1,1
170,10.0,64,0,1,1
171,10.0,65,0,1,1
172,10.0,77,0,1,1
173,10.0,67,0,1,1
174,10.0,62,0,1,1
175,10.0,64,0,1,1
176,10.0,70,0,1,1
177,10.0,72,0,1,1
178,10.0,68,0,1,1
179,9.0,68,0,1,1
180,10.0,63,0,1,1
181,10.0,65,0,1,1
182,10.0,68,0,1,1
183,10.0,70,0,1,1
184,10.0,68,0,1,1
185,10.0,67,0,1,1
186,10.0,68,0,1,1
187,10.0,73,0,1,1
188,10.0,67,0,1,1
189,10.0,69,0,1,1
190,10.0,71,0,1,1
191,-2.0,73,2,0,0
192,10.0,68,0,1,1
193,9.0,67,0,1,1
194,10.0,65,0,1,1
195,10.0,68,0,1,1
196,10.0,66,0,1,1
197,10.0,69,0,1,1
198,10.0,70,0,1,1
199,10.0,65,0,1,1
200,-2.0,67,2,0,0
201,10.0,66,0,1,1
202,10.0,62,0,1,1
203,10.0,66,0,1,1
204,10.0,71,0,1,1
205,-2.0,68,2,0,0
206,10.0,67,0,1,1
207,10.0,69,0,1,1
208,10.0,64,0,1,1
209,10.0,66,0,1,1
210,10.0,64,0,1,1
211,10.0,67,0,1,1
212,10.0,70,0,1,1
213,-2.0,68,2,0,0
214,10.0,68,0,1,1
215,10.0,65,0,1,1
216,10.0,67,0,1,1
217,9.0,69,0,1,1
218,9.0,69,0,1,1
219,10.0,65,0,1,1
220,10.0,65,0,1,1
221,10.0,67,0,1,1
222,10.0,71,0,1,1
223,10.0,66,0,1,1
224,10.0,66,0,1,1
225,9.0,72,0,1,1
226,-4.0,78,2,0,0
227,10.0,68,0,1,1
228,10.0,71,0,1,1
229,10.0,67,0,1,1
230,10.0,65,0,1,1
231,10.0,67,0,1,1
232,-3.0,78,2,0,0
233,10.0,68,0,1,1
234,-2.0,69,1,0,0
235,10.0,66,0,1,1
236,10.0,66,0,1,1
237,10.0,66,0,1,1
238,10.0,64,0,1,1
239,10.0,65,0,1,1
240,10.0,64,0,1,1
241,10.0,66,0,1,1
242,10.0,66,0,1,1
243,10.0,69,0,1,1
244,9.0,72,0,1,1
245,10.0,67,0,1,1
246,10.0,65,0,1,1
247,10.0,69,0,1,1
248,9.0,63,0,1,1
249,10.0,63,0,1,1
250,9.0,67,0,1,1
251,10.0,69,0,1,1
252,-2.0,68,2,0,0
253,10.0,66,0,1,1
254,9.0,65,0,1,1
255,9.0,66,0,1,1
256,10.0,63,0,1,1
257,10.0,67,0,1,1
258,10.0,67,0,1,1
259,10.0,68,0,1,1
260,-2.0,68,2,0,0
261,10.0,64,0,1,1
262,9.0,75,0,1,1
263,10.0,66,0,1,1
264,10.0,68,0,1,1
265,10.0,64,0,1,1
266,10.0,66,0,1,1
267,9.0,64,0,1,1
268,10.0,69,0,1,1
269,-2.0,69,2,0,0
270,9.0,66,0,1,1
271,10.0,67,0,1,1
272,10.0,69,0,1,1
273,10.0,63,0,1,1
274,-3.0,66,2,0,0
275,10.0,64,0,1,1
276,10.0,71,0,1,1
277,10.0,69,0,1,1
278,10.0,70,0,1,1
279,10.0,64,0,1,1
280,10.0,66,0,1,1
281,10.0,66,0,1,1
282,10.0,64,0,1,1
283,10.0,71,0,1,1
284,10.0,66,0,1,1
285,10.0,62,0,1,1
286,10.0,64,0,1,1
287,10.0,68,0,1,1
288,10.0,69,0,1,1
289,10.0,69,0,1,1
290,10.0,67,0,1,1
291,10.0,70,0,1,1
292,10.0,66,0,1,1
293,10.0,68,0,1,1
294,10.0,67,0,1,1
295,10.0,66,0,1,1
296,10.0,65,0,1,1
297,10.0,66,0,1,1
298,10.0,62,0,1,1
299,10.0,69,0,1,1
300,10.0,64,0,1,1
301,-2.0,67,1,0,0
302,10.0,65,0,1,1
303,10.0,63,0,1,1
304,10.0,72,0,1,1
