episode,reward,length,chains_broken,chain_progressed,chains_completed,Value,Step,Wall time
1,-40.0,200,1,0,0,,,
2,-18.0,200,2,0,0,,,
3,-12.0,200,2,0,0,,,
4,-4.0,200,1,0,0,,,
5,-7.0,200,2,0,0,,,
6,-1.0,200,0,0,0,,,
7,-2.0,200,1,0,0,,,
8,-2.0,200,1,0,0,,,
9,-2.0,200,1,0,0,,,
10,10.0,166,0,1,1,,,
11,-1.0,200,0,0,0,,,
12,-1.0,200,0,0,0,,,
13,-1.0,200,0,0,0,,,
14,-1.0,200,0,0,0,,,
15,-3.0,200,1,0,0,,,
16,-1.0,200,0,0,0,,,
17,-2.0,201,1,0,0,,,
18,-2.0,200,1,0,0,,,
19,-2.0,200,1,0,0,,,
20,-3.0,200,2,0,0,,,
21,-2.0,200,0,0,0,,,
22,-1.0,200,0,0,0,,,
23,-2.0,200,1,0,0,,,
24,-2.0,200,1,0,0,,,
25,-1.0,200,0,0,0,,,
26,-3.0,200,2,0,0,,,
27,-1.0,200,0,0,0,,,
28,-2.0,200,1,0,0,,,
29,-2.0,200,0,0,0,,,
30,-2.0,200,1,0,0,,,
31,-2.0,200,1,0,0,,,
32,-3.0,200,2,0,0,,,
33,-1.0,200,0,0,0,,,
34,-2.0,200,1,0,0,,,
35,-1.0,200,0,0,0,,,
36,-1.0,200,0,0,0,,,
37,-1.0,200,0,0,0,,,
38,-1.0,200,0,0,0,,,
39,-1.0,200,0,0,0,,,
40,-1.0,200,0,0,0,,,
41,-1.0,200,0,0,0,,,
42,-2.0,200,1,0,0,,,
43,-2.0,200,1,0,0,,,
44,-2.0,200,1,0,0,,,
45,-2.0,200,1,0,0,,,
46,-3.0,200,2,0,0,,,
47,-2.0,200,1,0,0,,,
48,-2.0,200,1,0,0,,,
49,-3.0,200,1,0,0,,,
50,-1.0,200,0,0,0,,,
51,-1.0,200,0,0,0,,,
52,-1.0,200,0,0,0,,,
53,-1.0,200,0,0,0,,,
54,-1.0,200,0,0,0,,,
55,-1.0,200,0,0,0,,,
56,-1.0,200,0,0,0,,,
57,-2.0,200,1,0,0,,,
58,-1.0,200,0,0,0,,,
59,-3.0,200,2,0,0,,,
60,-2.0,200,1,0,0,,,
61,-1.0,200,0,0,0,,,
62,-1.0,200,0,0,0,,,
63,-1.0,200,0,0,0,,,
64,-2.0,200,1,0,0,,,
65,-1.0,200,0,0,0,,,
66,-1.0,200,0,0,0,,,
67,-1.0,200,0,0,0,,,
68,-2.0,200,1,0,0,,,
69,-1.0,200,0,0,0,,,
70,-1.0,200,0,0,0,,,
71,-2.0,200,1,0,0,,,
72,-1.0,200,0,0,0,,,
73,-1.0,200,0,0,0,,,
74,-2.0,200,1,0,0,,,
75,-1.0,200,0,0,0,,,
76,-2.0,200,1,0,0,,,
77,-2.0,200,1,0,0,,,
78,-2.0,200,1,0,0,,,
79,-2.0,200,1,0,0,,,
80,-3.0,200,1,0,0,,,
81,-2.0,200,1,0,0,,,
82,-1.0,200,0,0,0,,,
83,-1.0,200,0,0,0,,,
84,-3.0,200,1,0,0,,,
85,-1.0,200,0,0,0,,,
86,-1.0,200,0,0,0,,,
87,-1.0,200,0,0,0,,,
88,-1.0,200,0,0,0,,,
89,-1.0,200,0,0,0,,,
90,-2.0,200,0,0,0,,,
91,-1.0,200,0,0,0,,,
92,-1.0,200,0,0,0,,,
93,-2.0,200,1,0,0,,,
94,-1.0,200,0,0,0,,,
95,-1.0,200,0,0,0,,,
96,-2.0,200,1,0,0,,,
97,-2.0,200,1,0,0,,,
98,-1.0,200,0,0,0,,,
99,-2.0,200,1,0,0,,,
100,-1.0,200,0,0,0,,,
101,-2.0,200,1,0,0,,,
102,-3.0,200,2,0,0,,,
103,-1.0,200,0,0,0,,,
104,-1.0,200,0,0,0,,,
105,-2.0,200,1,0,0,,,
106,-1.0,200,0,0,0,,,
107,-1.0,200,0,0,0,,,
108,-2.0,200,1,0,0,,,
109,-2.0,200,1,0,0,,,
110,-2.0,200,0,0,0,,,
111,-2.0,200,1,0,0,,,
112,-1.0,200,0,0,0,,,
113,-1.0,200,0,0,0,,,
114,-2.0,200,0,0,0,,,
115,-2.0,200,1,0,0,,,
116,-1.0,200,0,0,0,,,
117,-1.0,200,0,0,0,,,
118,-1.0,200,0,0,0,,,
119,-1.0,200,0,0,0,,,
120,-1.0,200,0,0,0,,,
121,-1.0,200,0,0,0,,,
122,-2.0,200,0,0,0,,,
123,-1.0,200,0,0,0,,,
124,-2.0,200,1,0,0,,,
125,-1.0,200,0,0,0,,,
126,-2.0,200,1,0,0,,,
127,-1.0,200,0,0,0,,,
128,-2.0,200,1,0,0,,,
129,-1.0,200,0,0,0,,,
130,-1.0,200,0,0,0,,,
131,-1.0,200,0,0,0,,,
132,-2.0,200,1,0,0,,,
133,-1.0,200,0,0,0,,,
134,-1.0,200,0,0,0,,,
135,-1.0,200,0,0,0,,,
136,-1.0,200,0,0,0,,,
137,-1.0,200,0,0,0,,,
138,-1.0,200,0,0,0,,,
139,-1.0,200,0,0,0,,,
140,-1.0,200,0,0,0,,,
141,-1.0,200,0,0,0,,,
142,-2.0,200,1,0,0,,,
143,-2.0,200,1,0,0,,,
144,-2.0,200,0,0,0,,,
145,-2.0,200,1,0,0,,,
146,-2.0,200,1,0,0,,,
147,-3.0,200,0,0,0,,,
148,-1.0,200,0,0,0,,,
149,-2.0,200,1,0,0,,,
150,-2.0,200,1,0,0,,,
151,-1.0,200,0,0,0,,,
152,-2.0,200,1,0,0,,,
153,-1.0,200,0,0,0,,,
154,-1.0,200,0,0,0,,,
155,-1.0,200,0,0,0,,,
156,-1.0,200,0,0,0,,,
157,-1.0,200,0,0,0,,,
158,-1.0,200,0,0,0,,,
159,-2.0,200,0,0,0,,,
160,-1.0,200,0,0,0,,,
161,-2.0,200,1,0,0,,,
162,-1.0,200,0,0,0,,,
163,-5.0,200,0,0,0,,,
164,-2.0,200,1,0,0,,,
165,-1.0,200,0,0,0,,,
166,-2.0,200,1,0,0,,,
167,-1.0,200,0,0,0,,,
168,-2.0,200,1,0,0,,,
169,-2.0,200,1,0,0,,,
170,-1.0,200,0,0,0,,,
171,-1.0,200,0,0,0,,,
172,-2.0,200,1,0,0,,,
173,-1.0,200,0,0,0,,,
174,-1.0,200,0,0,0,,,
175,-1.0,200,0,0,0,,,
176,-1.0,200,0,0,0,,,
177,-1.0,200,0,0,0,,,
178,-2.0,200,1,0,0,,,
179,-1.0,200,0,0,0,,,
180,-1.0,200,0,0,0,,,
181,-1.0,200,0,0,0,,,
182,-1.0,200,0,0,0,,,
183,-1.0,200,0,0,0,,,
184,-1.0,200,0,0,0,,,
185,-1.0,200,0,0,0,,,
186,-1.0,200,0,0,0,,,
187,-2.0,200,1,0,0,,,
188,-3.0,200,1,0,0,,,
189,-3.0,200,2,0,0,,,
190,-1.0,200,0,0,0,,,
191,-2.0,200,1,0,0,,,
192,-2.0,200,1,0,0,,,
193,-2.0,200,0,0,0,,,
194,-1.0,200,0,0,0,,,
195,-1.0,200,0,0,0,,,
196,-1.0,200,0,0,0,,,
197,-2.0,200,1,0,0,,,
198,-2.0,200,1,0,0,,,
199,-1.0,200,0,0,0,,,
200,-1.0,200,0,0,0,,,
201,-3.0,200,1,0,0,,,
202,-1.0,200,0,0,0,,,
203,-1.0,200,0,0,0,,,
204,-1.0,200,0,0,0,,,
205,-1.0,200,0,0,0,,,
206,-3.0,200,0,0,0,,,
207,-2.0,200,1,0,0,,,
208,-2.0,200,1,0,0,,,
209,-2.0,200,1,0,0,,,
210,-2.0,200,1,0,0,,,
211,-2.0,200,1,0,0,,,
212,-1.0,200,0,0,0,,,
213,-3.0,200,0,0,0,,,
214,-1.0,200,0,0,0,,,
215,-3.0,200,0,0,0,,,
216,-1.0,200,0,0,0,,,
217,-2.0,200,1,0,0,,,
218,-1.0,200,0,0,0,,,
219,-1.0,200,0,0,0,,,
220,-2.0,200,1,0,0,,,
221,-2.0,200,0,0,0,,,
222,-2.0,200,0,0,0,,,
223,-1.0,200,0,0,0,,,
224,-3.0,200,1,0,0,,,
225,-2.0,200,1,0,0,,,
226,-2.0,200,1,0,0,,,
227,-3.0,200,0,0,0,,,
228,-2.0,200,1,0,0,,,
229,-1.0,200,0,0,0,,,
230,-2.0,200,1,0,0,,,
231,-1.0,200,0,0,0,,,
232,-1.0,200,0,0,0,,,
233,-1.0,200,0,0,0,,,
234,-2.0,200,1,0,0,,,
235,-2.0,200,1,0,0,,,
236,-1.0,200,0,0,0,,,
237,-1.0,200,0,0,0,,,
238,-2.0,200,1,0,0,,,
239,-1.0,200,0,0,0,,,
240,-1.0,200,0,0,0,,,
241,-1.0,200,0,0,0,,,
242,-1.0,200,0,0,0,,,
243,-1.0,200,0,0,0,,,
244,-2.0,200,1,0,0,,,
245,-1.0,200,0,0,0,,,
246,-1.0,200,0,0,0,,,
247,-2.0,200,0,0,0,,,
248,-1.0,200,0,0,0,,,
249,-1.0,200,0,0,0,,,
250,-1.0,200,0,0,0,,,
251,-1.0,200,0,0,0,,,
252,-2.0,200,1,0,0,,,
253,-1.0,200,0,0,0,,,
254,-1.0,200,0,0,0,,,
255,-1.0,200,0,0,0,,,
