episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-39.0,200,1,0,0
2,-30.0,200,2,0,0
3,-14.0,175,2,0,0
4,-19.0,199,2,0,0
5,-5.0,200,1,0,0
6,-6.0,178,2,0,0
7,-6.0,200,1,0,0
8,-3.0,173,1,0,0
9,-1.0,200,0,0,0
10,-3.0,200,2,0,0
11,-2.0,200,0,0,0
12,-4.0,200,2,0,0
13,-3.0,200,1,0,0
14,-3.0,200,1,0,0
15,-2.0,200,1,0,0
16,-2.0,200,1,0,0
17,-2.0,200,1,0,0
18,-2.0,200,1,0,0
19,-3.0,200,1,0,0
20,-2.0,200,1,0,0
21,-1.0,200,0,0,0
22,-2.0,200,0,0,0
23,-2.0,200,1,0,0
24,-3.0,171,1,0,0
25,-2.0,200,1,0,0
26,-1.0,200,0,0,0
27,-3.0,200,2,0,0
28,-1.0,200,0,0,0
29,-2.0,200,1,0,0
30,-1.0,200,0,0,0
31,-3.0,200,2,0,0
32,-2.0,200,1,0,0
33,-1.0,200,0,0,0
34,-2.0,200,1,0,0
35,-2.0,184,2,0,0
36,-1.0,200,0,0,0
37,-1.0,200,0,0,0
38,-2.0,200,1,0,0
39,-3.0,200,2,0,0
40,-2.0,200,0,0,0
41,-1.0,200,0,0,0
42,-2.0,200,1,0,0
43,-3.0,200,2,0,0
44,-1.0,200,0,0,0
45,-3.0,200,1,0,0
46,-2.0,200,0,0,0
47,-3.0,200,0,0,0
48,-1.0,200,0,0,0
49,-2.0,200,1,0,0
50,-1.0,200,0,0,0
51,-1.0,200,0,0,0
52,-3.0,200,1,0,0
53,-1.0,200,0,0,0
54,-1.0,200,0,0,0
55,-2.0,200,1,0,0
56,-2.0,200,1,0,0
57,-2.0,200,1,0,0
58,-2.0,200,1,0,0
59,-1.0,200,0,0,0
60,-1.0,200,0,0,0
61,-1.0,200,0,0,0
62,-4.0,200,0,0,0
63,-2.0,200,1,0,0
64,-2.0,200,1,0,0
65,-2.0,200,1,0,0
66,-3.0,200,2,0,0
67,-3.0,200,1,0,0
68,-1.0,200,0,0,0
69,-2.0,200,1,0,0
70,-2.0,200,1,0,0
71,-2.0,200,0,0,0
72,-1.0,200,0,0,0
73,-1.0,200,0,0,0
74,-3.0,200,1,0,0
75,-3.0,200,1,0,0
76,-2.0,200,1,0,0
77,-1.0,200,0,0,0
78,-1.0,200,0,0,0
79,-2.0,200,1,0,0
80,-1.0,200,0,0,0
81,-1.0,200,0,0,0
82,-2.0,200,1,0,0
83,-2.0,200,1,0,0
84,-2.0,200,1,0,0
85,-2.0,200,0,0,0
86,-2.0,200,1,0,0
87,-3.0,200,1,0,0
88,-1.0,200,0,0,0
89,-1.0,200,0,0,0
90,-1.0,200,0,0,0
91,-1.0,200,0,0,0
92,-1.0,200,0,0,0
93,-1.0,200,0,0,0
94,-2.0,200,1,0,0
95,-1.0,200,0,0,0
96,-1.0,200,0,0,0
97,-1.0,200,0,0,0
98,-2.0,200,1,0,0
99,-5.0,200,0,0,0
100,-2.0,200,1,0,0
101,-2.0,200,1,0,0
102,-1.0,200,0,0,0
103,-1.0,200,0,0,0
104,-4.0,200,2,0,0
105,-2.0,200,1,0,0
106,-2.0,200,1,0,0
107,-3.0,168,2,0,0
108,-1.0,200,0,0,0
109,-1.0,200,0,0,0
110,-2.0,200,1,0,0
111,-1.0,200,0,0,0
112,-2.0,184,1,0,0
113,-3.0,200,1,0,0
114,-2.0,200,0,0,0
115,-1.0,200,0,0,0
116,-3.0,200,2,0,0
117,-2.0,200,0,0,0
118,-2.0,200,0,0,0
119,-2.0,200,0,0,0
120,-2.0,200,1,0,0
121,-2.0,200,1,0,0
122,-3.0,200,2,0,0
123,-1.0,200,0,0,0
124,-1.0,200,0,0,0
125,-8.0,200,1,0,0
126,-1.0,200,0,0,0
127,-2.0,200,1,0,0
128,-3.0,200,1,0,0
129,-4.0,200,2,0,0
130,-1.0,200,0,0,0
131,-1.0,200,0,0,0
132,-1.0,200,0,0,0
133,-1.0,200,0,0,0
134,-2.0,200,1,0,0
135,-1.0,200,0,0,0
136,-1.0,200,0,0,0
137,-1.0,200,0,0,0
138,-1.0,200,0,0,0
139,-1.0,200,0,0,0
140,-1.0,200,0,0,0
141,-3.0,200,0,0,0
142,-1.0,200,0,0,0
143,-2.0,200,1,0,0
144,-4.0,200,0,0,0
145,-1.0,200,0,0,0
146,-3.0,200,1,0,0
147,-1.0,200,0,0,0
148,-1.0,200,0,0,0
149,-1.0,200,0,0,0
150,-2.0,200,1,0,0
151,-2.0,200,1,0,0
152,-2.0,200,0,0,0
153,-2.0,200,0,0,0
154,-2.0,200,0,0,0
155,-1.0,200,0,0,0
156,-2.0,200,1,0,0
157,-1.0,200,0,0,0
158,-2.0,200,1,0,0
159,-2.0,200,0,0,0
160,-2.0,200,1,0,0
161,-2.0,200,1,0,0
162,-3.0,200,1,0,0
163,-1.0,200,0,0,0
164,-2.0,187,1,0,0
165,-4.0,200,1,0,0
166,-2.0,200,1,0,0
167,-1.0,200,0,0,0
168,-2.0,200,1,0,0
169,-3.0,200,1,0,0
170,-1.0,200,0,0,0
171,-3.0,200,2,0,0
172,-4.0,200,1,0,0
173,-1.0,200,0,0,0
174,-4.0,200,1,0,0
175,-1.0,200,0,0,0
176,-4.0,200,2,0,0
177,-1.0,200,0,0,0
178,-1.0,200,0,0,0
179,-2.0,200,1,0,0
180,-2.0,200,0,0,0
181,-2.0,200,1,0,0
182,-1.0,200,0,0,0
183,-2.0,200,0,0,0
184,-4.0,200,1,0,0
185,-1.0,200,0,0,0
186,-1.0,200,0,0,0
187,-4.0,200,1,0,0
188,-1.0,200,0,0,0
189,-1.0,200,0,0,0
190,-3.0,200,0,0,0
191,-2.0,200,1,0,0
192,-1.0,200,0,0,0
193,-1.0,200,0,0,0
194,-3.0,165,2,0,0
195,-2.0,200,1,0,0
196,-5.0,200,1,0,0
197,-1.0,200,0,0,0
198,-1.0,200,0,0,0
199,-1.0,200,0,0,0
200,-2.0,200,1,0,0
201,-1.0,200,0,0,0
202,-3.0,200,0,0,0
203,-6.0,200,1,0,0
204,-3.0,200,2,0,0
205,-2.0,200,1,0,0
206,-5.0,200,2,0,0
207,-3.0,200,1,0,0
208,-2.0,200,0,0,0
209,-1.0,200,0,0,0
210,-2.0,200,1,0,0
211,-2.0,200,0,0,0
212,-1.0,200,0,0,0
213,-2.0,200,1,0,0
214,-2.0,200,1,0,0
215,-2.0,200,1,0,0
216,-1.0,200,0,0,0
217,-3.0,200,1,0,0
218,-2.0,200,1,0,0
219,-5.0,200,0,0,0
220,-1.0,200,0,0,0
221,-1.0,200,0,0,0
222,-2.0,200,0,0,0
223,-1.0,200,0,0,0
224,-1.0,200,0,0,0
225,-1.0,200,0,0,0
226,-2.0,200,0,0,0
227,-3.0,200,0,0,0
228,-2.0,200,1,0,0
229,-1.0,200,0,0,0
230,-1.0,200,0,0,0
231,-3.0,200,1,0,0
232,-2.0,200,0,0,0
233,-2.0,200,1,0,0
234,-2.0,200,1,0,0
235,-1.0,200,0,0,0
236,-2.0,200,1,0,0
237,-3.0,200,1,0,0
238,-2.0,200,1,0,0
239,-2.0,200,1,0,0
240,-1.0,200,0,0,0
241,-2.0,200,0,0,0
242,-2.0,200,1,0,0
243,-2.0,200,0,0,0
244,-2.0,200,1,0,0
245,-1.0,200,0,0,0
246,-2.0,200,1,0,0
247,-2.0,200,0,0,0
248,-1.0,200,0,0,0
249,-3.0,200,1,0,0
250,-3.0,200,1,0,0
251,-1.0,200,0,0,0
252,-2.0,200,0,0,0
253,-2.0,200,1,0,0
254,10.0,154,0,1,1
255,-3.0,200,1,0,0
256,-2.0,200,0,0,0
257,-1.0,200,0,0,0
258,-2.0,200,1,0,0
259,-3.0,200,0,0,0
260,-2.0,200,1,0,0
261,-2.0,200,1,0,0
262,-3.0,200,1,0,0
263,-2.0,200,0,0,0
264,-2.0,200,1,0,0
265,-2.0,200,1,0,0
266,-2.0,200,0,0,0
267,-3.0,200,1,0,0
268,-1.0,200,0,0,0
269,-1.0,200,0,0,0
270,-1.0,200,0,0,0
271,-2.0,200,1,0,0
272,-2.0,200,0,0,0
273,-3.0,200,1,0,0
274,-2.0,151,2,0,0
275,-2.0,190,2,0,0
276,-1.0,200,0,0,0
277,-1.0,200,0,0,0
278,-1.0,200,0,0,0
279,-1.0,200,0,0,0
280,-1.0,200,0,0,0
281,-3.0,200,0,0,0
282,-2.0,200,1,0,0
283,-3.0,200,1,0,0
284,-1.0,200,0,0,0
285,-2.0,200,1,0,0
