episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-44.0,194,2,0,0
2,-24.0,179,2,0,0
3,-9.0,200,2,0,0
4,-6.0,200,2,0,0
5,-3.0,200,2,0,0
6,9.0,198,0,1,1
7,-3.0,200,1,0,0
8,-3.0,200,2,0,0
9,-3.0,200,2,0,0
10,-3.0,200,2,0,0
11,-2.0,200,0,0,0
12,-2.0,200,1,0,0
13,-3.0,200,2,0,0
14,-3.0,200,2,0,0
15,-2.0,200,1,0,0
16,-3.0,200,1,0,0
17,-3.0,200,2,0,0
18,-3.0,200,0,0,0
19,-2.0,200,1,0,0
20,-2.0,200,1,0,0
21,-2.0,200,1,0,0
22,-2.0,200,1,0,0
23,-1.0,200,0,0,0
24,-2.0,200,1,0,0
25,-3.0,200,1,0,0
26,-1.0,200,0,0,0
27,-2.0,200,1,0,0
28,-1.0,200,0,0,0
29,-1.0,200,0,0,0
30,-2.0,200,0,0,0
31,-2.0,200,1,0,0
32,-1.0,200,0,0,0
33,-2.0,200,1,0,0
34,-1.0,200,0,0,0
35,-2.0,200,1,0,0
36,-2.0,200,1,0,0
37,-1.0,200,0,0,0
38,-1.0,200,0,0,0
39,-2.0,200,1,0,0
40,-2.0,200,1,0,0
41,-1.0,200,0,0,0
42,-3.0,200,0,0,0
43,-1.0,200,0,0,0
44,-1.0,200,0,0,0
45,-2.0,200,1,0,0
46,-3.0,200,2,0,0
47,-3.0,200,2,0,0
48,-3.0,200,2,0,0
49,-2.0,200,0,0,0
50,-1.0,200,0,0,0
51,-1.0,200,0,0,0
52,-1.0,200,0,0,0
53,-2.0,200,0,0,0
54,-1.0,200,0,0,0
55,-3.0,200,2,0,0
56,-2.0,200,0,0,0
57,-1.0,200,0,0,0
58,-1.0,200,0,0,0
59,-1.0,200,0,0,0
60,-2.0,200,1,0,0
61,-1.0,200,0,0,0
62,-1.0,200,0,0,0
63,-1.0,200,0,0,0
64,-1.0,200,0,0,0
65,-1.0,200,0,0,0
66,-1.0,200,0,0,0
67,-1.0,200,0,0,0
68,-1.0,200,0,0,0
69,-2.0,200,1,0,0
70,-1.0,200,0,0,0
71,-1.0,200,0,0,0
72,-2.0,200,1,0,0
73,-2.0,200,1,0,0
74,-1.0,200,0,0,0
75,-1.0,200,0,0,0
76,-1.0,200,0,0,0
77,-2.0,200,1,0,0
78,-1.0,200,0,0,0
79,-1.0,200,0,0,0
80,-2.0,200,1,0,0
81,-1.0,200,0,0,0
82,-1.0,200,0,0,0
83,-2.0,200,1,0,0
84,-1.0,200,0,0,0
85,-2.0,200,1,0,0
86,-1.0,200,0,0,0
87,-2.0,200,0,0,0
88,-2.0,200,1,0,0
89,-2.0,200,1,0,0
90,-1.0,200,0,0,0
91,-1.0,200,0,0,0
92,-1.0,200,0,0,0
93,-1.0,200,0,0,0
94,-2.0,200,1,0,0
95,-2.0,200,1,0,0
96,-1.0,200,0,0,0
97,-3.0,200,2,0,0
98,-2.0,200,1,0,0
99,-1.0,200,0,0,0
100,-1.0,200,0,0,0
101,-2.0,200,1,0,0
102,-2.0,200,1,0,0
103,-1.0,200,0,0,0
104,-1.0,200,0,0,0
105,-2.0,200,1,0,0
106,-1.0,200,0,0,0
107,-1.0,200,0,0,0
108,-1.0,200,0,0,0
109,-2.0,200,1,0,0
110,-3.0,200,1,0,0
111,-1.0,200,0,0,0
