episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-4.111999999999999,12,1,0,0
2,-2.1379999999999963,38,1,0,0
3,-20.1,100,0,0,0
4,-0.11300000000000002,13,1,0,0
5,-5.128,28,1,0,0
6,-2.1239999999999983,24,1,0,0
7,4.942999999999998,57,0,1,1
8,-1.1279999999999986,28,1,0,0
9,-0.10400000000000001,4,1,0,0
10,-1.1189999999999989,19,1,0,0
11,7.959000000000005,41,0,1,1
12,-2.119999999999998,20,1,0,0
13,-0.101,1,1,0,0
14,-1.1319999999999988,32,1,0,0
15,-0.10300000000000001,3,1,0,0
16,-5.169999999999997,70,1,0,0
17,-0.10600000000000001,6,1,0,0
18,-1.1269999999999993,27,1,0,0
19,-0.101,1,1,0,0
20,6.934000000000006,66,0,1,1
21,-1.1139999999999988,14,1,0,0
22,8.913,87,0,1,1
23,8.941000000000006,59,0,1,1
24,9.986,14,0,1,1
25,-0.10500000000000001,5,1,0,0
26,-0.11400000000000002,14,1,0,0
27,-0.13500000000000004,35,1,0,0
28,8.939000000000002,61,0,1,1
29,-3.1339999999999977,34,1,0,0
30,-0.10200000000000001,2,1,0,0
31,7.927000000000005,73,0,1,1
32,-0.10200000000000001,2,1,0,0
33,-0.10200000000000001,2,1,0,0
34,-1.1359999999999992,36,1,0,0
35,-0.10600000000000001,6,1,0,0
36,-0.10200000000000001,2,1,0,0
37,-0.12500000000000003,25,1,0,0
38,-1.0999999999999899,100,0,0,0
39,-0.10300000000000001,3,1,0,0
40,-1.1039999999999999,4,1,0,0
41,9.953000000000001,47,0,1,1
42,-0.10600000000000001,6,1,0,0
43,-0.11500000000000002,15,1,0,0
44,8.951000000000004,49,0,1,1
45,-0.101,1,1,0,0
46,-0.101,1,1,0,0
47,-1.1089999999999993,9,1,0,0
48,-0.10500000000000001,5,1,0,0
49,8.957000000000004,43,0,1,1
50,-0.11500000000000002,15,1,0,0
51,-0.10600000000000001,6,1,0,0
52,-0.13800000000000004,38,1,0,0
53,-0.13700000000000004,37,1,0,0
54,-0.10900000000000001,9,1,0,0
55,-1.1089999999999993,9,1,0,0
56,-0.12100000000000002,21,1,0,0
57,7.922000000000004,78,0,1,1
58,-0.10500000000000001,5,1,0,0
59,-0.10200000000000001,2,1,0,0
60,-0.10400000000000001,4,1,0,0
61,-0.10900000000000001,9,1,0,0
62,-0.10300000000000001,3,1,0,0
63,-0.13500000000000004,35,1,0,0
64,-6.100000000000013,100,0,0,0
65,-0.12200000000000003,22,1,0,0
66,-0.10200000000000001,2,1,0,0
67,-0.10700000000000001,7,1,0,0
68,-0.10300000000000001,3,1,0,0
69,6.955000000000004,45,0,1,1
70,-0.10700000000000001,7,1,0,0
71,-0.10200000000000001,2,1,0,0
72,-0.10200000000000001,2,1,0,0
73,-0.10600000000000001,6,1,0,0
74,-0.10700000000000001,7,1,0,0
75,-4.100000000000003,100,0,0,0
76,-0.10300000000000001,3,1,0,0
77,-0.10600000000000001,6,1,0,0
78,6.960000000000004,40,0,1,1
79,-0.12900000000000003,29,1,0,0
80,-0.11100000000000002,11,1,0,0
81,-0.10300000000000001,3,1,0,0
82,-0.10600000000000001,6,1,0,0
83,-0.10700000000000001,7,1,0,0
84,-0.17000000000000004,70,1,0,0
85,-0.10600000000000001,6,1,0,0
86,-1.1059999999999999,6,1,0,0
