episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-0.12300000000000003,23,1,0,0
2,9.978,22,0,1,1
3,-0.13300000000000003,33,1,0,0
4,9.976,24,0,1,1
5,9.969000000000001,31,0,1,1
6,-0.11200000000000002,12,1,0,0
7,-0.13000000000000003,30,1,0,0
8,9.979000000000001,21,0,1,1
9,9.967,33,0,1,1
10,9.985000000000001,15,0,1,1
11,9.98,20,0,1,1
12,9.957,43,0,1,1
13,9.961,39,0,1,1
14,9.972000000000001,28,0,1,1
15,9.983,17,0,1,1
16,9.981,19,0,1,1
17,9.945,55,0,1,1
18,-0.16200000000000006,62,1,0,0
19,9.992,8,0,1,1
20,9.954,46,0,1,1
21,9.983,17,0,1,1
22,-0.11700000000000002,17,1,0,0
23,9.981,19,0,1,1
24,9.983,17,0,1,1
25,9.978,22,0,1,1
26,9.983,17,0,1,1
27,9.98,20,0,1,1
28,-1.099,100,0,0,0
29,9.984,16,0,1,1
30,9.982000000000001,18,0,1,1
31,-0.12100000000000002,21,1,0,0
32,9.979000000000001,21,0,1,1
33,9.989,11,0,1,1
34,9.97,30,0,1,1
35,9.983,17,0,1,1
36,9.962,38,0,1,1
37,9.995000000000001,5,0,1,1
38,9.98,20,0,1,1
39,-0.14400000000000004,44,1,0,0
40,9.975000000000001,25,0,1,1
41,9.968,32,0,1,1
42,9.981,19,0,1,1
43,9.981,19,0,1,1
44,9.973,27,0,1,1
45,9.992,8,0,1,1
46,9.981,19,0,1,1
47,9.974,26,0,1,1
48,9.973,27,0,1,1
49,9.985000000000001,15,0,1,1
50,9.976,24,0,1,1
51,-0.13400000000000004,34,1,0,0
52,9.976,24,0,1,1
53,-0.13000000000000003,30,1,0,0
54,9.979000000000001,21,0,1,1
55,-0.10600000000000001,6,1,0,0
56,9.983,17,0,1,1
57,-0.11600000000000002,16,1,0,0
58,9.985000000000001,15,0,1,1
59,9.972000000000001,28,0,1,1
60,9.993,7,0,1,1
61,-0.11200000000000002,12,1,0,0
62,9.991000000000001,9,0,1,1
63,9.943000000000001,57,0,1,1
64,9.977,23,0,1,1
65,9.979000000000001,21,0,1,1
66,-0.11300000000000002,13,1,0,0
67,9.978,22,0,1,1
68,9.976,24,0,1,1
69,-0.11400000000000002,14,1,0,0
70,-0.11200000000000002,12,1,0,0
71,9.97,30,0,1,1
72,9.976,24,0,1,1
73,9.986,14,0,1,1
74,9.985000000000001,15,0,1,1
75,-0.11500000000000002,15,1,0,0
76,9.979000000000001,21,0,1,1
77,9.971,29,0,1,1
78,9.988000000000001,12,0,1,1
79,9.973,27,0,1,1
80,9.98,20,0,1,1
81,9.986,14,0,1,1
82,9.985000000000001,15,0,1,1
83,9.98,20,0,1,1
84,9.978,22,0,1,1
85,9.986,14,0,1,1
86,-0.11200000000000002,12,1,0,0
87,8.986,14,0,1,1
88,9.981,19,0,1,1
89,9.979000000000001,21,0,1,1
90,-0.15000000000000005,50,1,0,0
91,9.982000000000001,18,0,1,1
92,9.968,32,0,1,1
93,-0.11700000000000002,17,1,0,0
94,9.959000000000001,41,0,1,1
95,9.967,33,0,1,1
96,-0.11000000000000001,10,1,0,0
97,9.988000000000001,12,0,1,1
98,9.994,6,0,1,1
99,9.985000000000001,15,0,1,1
100,9.966000000000001,34,0,1,1
101,9.978,22,0,1,1
102,-0.11300000000000002,13,1,0,0
103,9.973,27,0,1,1
104,9.975000000000001,25,0,1,1
105,9.969000000000001,31,0,1,1
106,9.975000000000001,25,0,1,1
107,9.975000000000001,25,0,1,1
108,9.995000000000001,5,0,1,1
109,9.986,14,0,1,1
110,-0.11200000000000002,12,1,0,0
111,9.974,26,0,1,1
112,9.984,16,0,1,1
113,9.958,42,0,1,1
114,9.98,20,0,1,1
115,9.991000000000001,9,0,1,1
116,9.96,40,0,1,1
117,9.988000000000001,12,0,1,1
118,9.982000000000001,18,0,1,1
119,9.984,16,0,1,1
120,9.976,24,0,1,1
121,9.982000000000001,18,0,1,1
122,9.961,39,0,1,1
123,9.982000000000001,18,0,1,1
124,9.952,48,0,1,1
125,9.964,36,0,1,1
