episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-0.11200000000000002,12,1,0,0
2,9.972000000000001,28,0,1,1
3,-0.11300000000000002,13,1,0,0
4,-0.11300000000000002,13,1,0,0
5,-0.13000000000000003,30,1,0,0
6,-0.13000000000000003,30,1,0,0
7,9.927000000000001,73,0,1,1
8,-0.12800000000000003,28,1,0,0
9,-0.11500000000000002,15,1,0,0
10,-0.13000000000000003,30,1,0,0
11,-0.11700000000000002,17,1,0,0
12,9.975000000000001,25,0,1,1
13,-0.11400000000000002,14,1,0,0
14,9.981,19,0,1,1
15,9.993,7,0,1,1
16,-0.12900000000000003,29,1,0,0
17,-0.10000000000000007,100,0,0,0
18,-0.11200000000000002,12,1,0,0
19,-0.11000000000000001,10,1,0,0
20,-0.10300000000000001,3,1,0,0
21,-0.11400000000000002,14,1,0,0
22,-0.10000000000000007,100,0,0,0
23,9.986,14,0,1,1
24,-0.10000000000000007,100,0,0,0
25,-0.10400000000000001,4,1,0,0
26,7.959000000000003,41,0,1,1
27,9.977,23,0,1,1
28,9.976,24,0,1,1
29,-0.11500000000000002,15,1,0,0
30,9.964,36,0,1,1
31,9.91,90,0,1,1
32,-0.10600000000000001,6,1,0,0
33,9.987,13,0,1,1
34,-0.13300000000000003,33,1,0,0
35,9.975000000000001,25,0,1,1
36,-0.10400000000000001,4,1,0,0
37,9.974,26,0,1,1
38,9.971,29,0,1,1
39,9.965,35,0,1,1
40,-0.12200000000000003,22,1,0,0
41,9.978,22,0,1,1
42,-0.11800000000000002,18,1,0,0
43,-0.10000000000000007,100,0,0,0
44,9.98,20,0,1,1
45,-0.11500000000000002,15,1,0,0
46,-0.11100000000000002,11,1,0,0
47,-0.10700000000000001,7,1,0,0
48,-1.1309999999999998,31,1,0,0
49,-0.10600000000000001,6,1,0,0
50,-0.10700000000000001,7,1,0,0
51,-0.11300000000000002,13,1,0,0
52,-0.10900000000000001,9,1,0,0
53,-0.11600000000000002,16,1,0,0
54,-1.1089999999999998,9,1,0,0
55,-0.10700000000000001,7,1,0,0
56,-0.11300000000000002,13,1,0,0
57,-0.10600000000000001,6,1,0,0
58,-0.12000000000000002,20,1,0,0
59,-0.10800000000000001,8,1,0,0
60,-0.10800000000000001,8,1,0,0
61,9.976,24,0,1,1
62,9.962,38,0,1,1
63,9.906,94,0,1,1
64,-0.11100000000000002,11,1,0,0
65,-0.10000000000000007,100,0,0,0
66,-0.10000000000000007,100,0,0,0
67,9.972000000000001,28,0,1,1
68,-0.11500000000000002,15,1,0,0
69,-0.10000000000000007,100,0,0,0
70,9.961,39,0,1,1
71,9.973,27,0,1,1
72,9.985000000000001,15,0,1,1
73,9.929,71,0,1,1
74,-0.10500000000000001,5,1,0,0
75,-0.101,1,1,0,0
76,9.98,20,0,1,1
