episode,reward,length,chains_broken,chain_progressed,chains_completed
1,138.1,19,0,1,1
2,139.2,18,0,1,1
3,-1.4,13,1,0,0
4,139.9,11,0,1,1
5,138.89999999999998,21,0,1,1
6,138.39999999999998,26,0,1,1
7,134.8,32,0,1,1
8,138.79999999999998,22,0,1,1
9,0.9999999999999996,9,1,0,0
10,136.3,37,0,1,1
11,139.7,13,0,1,1
12,7.000000000000001,9,1,0,0
13,138.6,24,0,1,1
14,136.2,38,0,1,1
15,-0.2,1,1,0,0
16,-3.0000000000000004,19,1,0,0
17,136.3,27,0,1,1
18,137.39999999999998,26,0,1,1
19,139.1,19,0,1,1
20,139.2,18,0,1,1
21,138.89999999999998,21,0,1,1
22,-0.2,1,1,0,0
23,138.0,30,0,1,1
24,-10.89999999999998,100,0,0,0
25,31.2,27,1,0,0
26,137.59999999999997,34,0,1,1
27,139.1,19,0,1,1
28,137.4,26,0,1,1
29,128.79999999999998,32,0,1,1
30,-2.7000000000000006,6,1,0,0
31,134.4,26,0,1,1
32,5.400000000000002,25,1,0,0
33,0.4999999999999995,14,1,0,0
34,-1.7,6,1,0,0
35,-0.5,4,1,0,0
36,139.9,11,0,1,1
37,1.0,9,1,0,0
38,-0.4,3,1,0,0
39,138.6,24,0,1,1
40,138.2,28,0,1,1
41,137.6,24,0,1,1
42,139.5,15,0,1,1
43,-1.4000000000000008,23,1,0,0
44,16.999999999999996,9,1,0,0
45,-0.6000000000000001,5,1,0,0
46,-0.7,6,1,0,0
47,-0.10000000000000042,20,1,0,0
48,138.39999999999998,26,0,1,1
49,-0.2,1,1,0,0
50,138.9,21,0,1,1
51,138.29999999999998,27,0,1,1
52,-0.30000000000000004,2,1,0,0
53,-0.8,7,1,0,0
54,-0.2,1,1,0,0
55,139.39999999999998,16,0,1,1
56,-1.0,9,1,0,0
57,137.5,25,0,1,1
58,-1.9000000000000012,38,1,0,0
59,138.3,27,0,1,1
60,135.3,27,0,1,1
61,137.2,38,0,1,1
62,16.599999999999998,13,1,0,0
63,138.3,17,0,1,1
64,139.3,17,0,1,1
65,139.4,16,0,1,1
66,-0.6000000000000001,5,1,0,0
67,139.4,16,0,1,1
68,138.7,23,0,1,1
69,138.6,24,0,1,1
70,-0.2,1,1,0,0
71,138.7,23,0,1,1
72,0.09999999999999937,18,1,0,0
73,139.2,18,0,1,1
74,138.39999999999998,26,0,1,1
75,-0.2,1,1,0,0
76,136.79999999999998,22,0,1,1
77,137.6,24,0,1,1
78,135.2,28,0,1,1
79,138.4,16,0,1,1
80,137.2,28,0,1,1
81,138.29999999999998,27,0,1,1
