episode,reward,length,chains_broken,chain_progressed,chains_completed,Value,Step,Wall time
1,-8.158000000000008,58,1,0,0,,,
2,-0.101,1,1,0,0,,,
3,-3.119999999999999,20,1,0,0,,,
4,-0.10400000000000001,4,1,0,0,,,
5,-16.162999999999986,63,1,0,0,,,
6,-1.1059999999999999,6,1,0,0,,,
7,-0.10200000000000001,2,1,0,0,,,
8,-0.10400000000000001,4,1,0,0,,,
9,-4.116,16,1,0,0,,,
10,-0.11600000000000002,16,1,0,0,,,
11,-0.10200000000000001,2,1,0,0,,,
12,-0.10200000000000001,2,1,0,0,,,
13,-10.148000000000003,48,1,0,0,,,
14,-0.10600000000000001,6,1,0,0,,,
15,-0.10400000000000001,4,1,0,0,,,
16,-0.10300000000000001,3,1,0,0,,,
17,-27.27399999999993,275,0,1,1,,,
18,-0.10300000000000001,3,1,0,0,,,
19,-0.14100000000000004,41,1,0,0,,,
20,0.9079999999999941,93,0,1,1,,,
21,-0.11100000000000002,11,1,0,0,,,
22,-0.101,1,1,0,0,,,
23,-0.10300000000000001,3,1,0,0,,,
24,4.805999999999967,195,0,1,1,,,
25,-3.1759999999999953,76,1,0,0,,,
26,-0.10900000000000001,9,1,0,0,,,
27,-3.1349999999999976,35,1,0,0,,,
28,-0.11600000000000002,16,1,0,0,,,
29,-0.10300000000000001,3,1,0,0,,,
30,-0.10300000000000001,3,1,0,0,,,
31,-0.10900000000000001,9,1,0,0,,,
32,-0.10700000000000001,7,1,0,0,,,
33,-0.10300000000000001,3,1,0,0,,,
34,-0.10300000000000001,3,1,0,0,,,
35,-0.10400000000000001,4,1,0,0,,,
36,-0.13700000000000004,37,1,0,0,,,
37,-0.11200000000000002,12,1,0,0,,,
38,9.971,30,0,1,1,,,
39,-0.11100000000000002,11,1,0,0,,,
40,-0.12400000000000003,24,1,0,0,,,
41,-2.108999999999999,9,1,0,0,,,
42,-0.10700000000000001,7,1,0,0,,,
43,-0.101,1,1,0,0,,,
44,-0.10300000000000001,3,1,0,0,,,
45,-0.10600000000000001,6,1,0,0,,,
46,-0.13300000000000003,33,1,0,0,,,
47,-0.12100000000000002,21,1,0,0,,,
48,-0.101,1,1,0,0,,,
49,-1.1189999999999984,19,1,0,0,,,
50,-0.10400000000000001,4,1,0,0,,,
51,-0.10800000000000001,8,1,0,0,,,
52,-0.10200000000000001,2,1,0,0,,,
53,-0.101,1,1,0,0,,,
54,-0.11200000000000002,12,1,0,0,,,
55,-0.10500000000000001,5,1,0,0,,,
56,-0.13200000000000003,32,1,0,0,,,
57,-0.10400000000000001,4,1,0,0,,,
58,-0.10500000000000001,5,1,0,0,,,
59,-0.10300000000000001,3,1,0,0,,,
60,8.954000000000002,47,0,1,1,,,
61,-0.101,1,1,0,0,,,
62,-0.101,1,1,0,0,,,
63,-0.10300000000000001,3,1,0,0,,,
64,-0.11700000000000002,17,1,0,0,,,
65,-0.10200000000000001,2,1,0,0,,,
66,-0.10200000000000001,2,1,0,0,,,
67,-1.1089999999999995,9,1,0,0,,,
68,-0.101,1,1,0,0,,,
69,-0.10200000000000001,2,1,0,0,,,
70,-0.10300000000000001,3,1,0,0,,,
71,-0.10500000000000001,5,1,0,0,,,
72,-0.11500000000000002,15,1,0,0,,,
73,-0.10200000000000001,2,1,0,0,,,
74,-0.12300000000000003,23,1,0,0,,,
75,-0.101,1,1,0,0,,,
76,-0.11000000000000001,10,1,0,0,,,
77,-0.15500000000000005,55,1,0,0,,,
78,-0.13700000000000004,37,1,0,0,,,
79,7.933000000000002,68,0,1,1,,,
80,-0.14800000000000005,48,1,0,0,,,
81,7.947000000000003,54,0,1,1,,,
82,-0.10300000000000001,3,1,0,0,,,
83,-0.10200000000000001,2,1,0,0,,,
84,-0.10900000000000001,9,1,0,0,,,
85,-0.10300000000000001,3,1,0,0,,,
86,-0.10600000000000001,6,1,0,0,,,
87,-0.10500000000000001,5,1,0,0,,,
88,-0.12300000000000003,23,1,0,0,,,
89,-0.10300000000000001,3,1,0,0,,,
90,-0.101,1,1,0,0,,,
91,-2.153999999999995,54,1,0,0,,,
92,-0.10700000000000001,7,1,0,0,,,
93,-0.10300000000000001,3,1,0,0,,,
94,-0.101,1,1,0,0,,,
95,-0.101,1,1,0,0,,,
96,-0.10500000000000001,5,1,0,0,,,
97,-0.10200000000000001,2,1,0,0,,,
98,-0.12400000000000003,24,1,0,0,,,
99,-1.1329999999999971,33,1,0,0,,,
100,-0.10400000000000001,4,1,0,0,,,
101,-0.10400000000000001,4,1,0,0,,,
