episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-0.101,1,1,0,0
2,-16.151999999999997,52,1,0,0
3,-0.10200000000000001,2,1,0,0
4,-5.128000000000003,28,1,0,0
5,-0.11100000000000002,11,1,0,0
6,-20.19300000000003,93,1,0,0
7,-0.101,1,1,0,0
8,-10.146000000000003,46,1,0,0
9,-0.10300000000000001,3,1,0,0
10,-0.101,1,1,0,0
11,-4.113,13,1,0,0
12,-4.143000000000002,43,1,0,0
13,-3.1249999999999982,25,1,0,0
14,-0.101,1,1,0,0
15,-1.1109999999999993,11,1,0,0
16,-0.101,1,1,0,0
17,-1.1229999999999989,23,1,0,0
18,-0.10300000000000001,3,1,0,0
19,-0.12200000000000003,22,1,0,0
20,-3.131999999999998,32,1,0,0
21,-2.1109999999999993,11,1,0,0
22,-1.1059999999999999,6,1,0,0
23,-0.13000000000000003,30,1,0,0
24,-0.10200000000000001,2,1,0,0
25,-0.10600000000000001,6,1,0,0
26,-0.11000000000000001,10,1,0,0
27,-0.11100000000000002,11,1,0,0
28,-1.1209999999999996,21,1,0,0
29,-0.10300000000000001,3,1,0,0
30,-0.10500000000000001,5,1,0,0
31,-0.14000000000000004,40,1,0,0
32,-0.10200000000000001,2,1,0,0
33,-2.149999999999995,50,1,0,0
34,-0.101,1,1,0,0
35,-0.101,1,1,0,0
36,5.922999999999995,78,0,1,1
37,-0.10900000000000001,9,1,0,0
38,-0.10200000000000001,2,1,0,0
39,-0.11700000000000002,17,1,0,0
40,-0.10800000000000001,8,1,0,0
41,-0.10600000000000001,6,1,0,0
42,-0.10300000000000001,3,1,0,0
43,-0.10200000000000001,2,1,0,0
44,-1.116999999999999,17,1,0,0
45,-1.1209999999999993,21,1,0,0
46,-0.10200000000000001,2,1,0,0
47,-0.11000000000000001,10,1,0,0
48,-0.10200000000000001,2,1,0,0
49,9.952,49,0,1,1
50,-0.101,1,1,0,0
51,-1.0999999999999919,100,0,0,0
52,-0.10500000000000001,5,1,0,0
53,-0.10200000000000001,2,1,0,0
54,-0.11000000000000001,10,1,0,0
55,-0.11700000000000002,17,1,0,0
56,-0.12100000000000002,21,1,0,0
57,-0.11000000000000001,10,1,0,0
58,-0.10200000000000001,2,1,0,0
59,-0.11500000000000002,15,1,0,0
60,-0.10700000000000001,7,1,0,0
61,-3.0999999999999894,100,0,0,0
62,-0.10300000000000001,3,1,0,0
63,-0.11500000000000002,15,1,0,0
64,-0.10600000000000001,6,1,0,0
65,-0.10200000000000001,2,1,0,0
66,-0.10300000000000001,3,1,0,0
67,-0.10400000000000001,4,1,0,0
68,-0.10400000000000001,4,1,0,0
69,-0.11000000000000001,10,1,0,0
70,-0.101,1,1,0,0
71,-0.10300000000000001,3,1,0,0
72,-0.101,1,1,0,0
73,-1.1309999999999993,31,1,0,0
74,-0.10300000000000001,3,1,0,0
75,-0.11900000000000002,19,1,0,0
76,-1.1509999999999951,51,1,0,0
77,-0.10400000000000001,4,1,0,0
78,-1.0999999999999948,100,0,0,0
79,-0.10200000000000001,2,1,0,0
80,-0.11000000000000001,10,1,0,0
81,-0.10200000000000001,2,1,0,0
82,-0.10500000000000001,5,1,0,0
83,-0.10400000000000001,4,1,0,0
