episode,reward,length,chains_broken,chain_progressed,chains_completed
1,-0.10300000000000001,3,1,0,0
2,-0.10300000000000001,3,1,0,0
3,-2.1099999999999994,10,1,0,0
4,-0.101,1,1,0,0
5,-11.14399999999999,44,1,0,0
6,-0.11200000000000002,12,1,0,0
7,-0.10900000000000001,9,1,0,0
8,-0.10200000000000001,2,1,0,0
9,-0.101,1,1,0,0
10,-0.10400000000000001,4,1,0,0
11,-2.1149999999999993,15,1,0,0
12,-0.10300000000000001,3,1,0,0
13,-0.10500000000000001,5,1,0,0
14,-0.10400000000000001,4,1,0,0
15,-0.10200000000000001,2,1,0,0
16,-0.10600000000000001,6,1,0,0
17,-1.1139999999999999,14,1,0,0
18,-0.101,1,1,0,0
19,-8.138999999999998,39,1,0,0
20,-0.101,1,1,0,0
21,-0.10500000000000001,5,1,0,0
22,-4.121000000000001,21,1,0,0
23,-0.101,1,1,0,0
24,-0.10300000000000001,3,1,0,0
25,-0.101,1,1,0,0
26,-0.101,1,1,0,0
27,-0.10400000000000001,4,1,0,0
28,-0.10500000000000001,5,1,0,0
29,-0.11800000000000002,18,1,0,0
30,-0.10400000000000001,4,1,0,0
31,-0.10700000000000001,7,1,0,0
32,-0.101,1,1,0,0
33,-0.10200000000000001,2,1,0,0
34,-0.101,1,1,0,0
35,-0.11400000000000002,14,1,0,0
36,-0.10800000000000001,8,1,0,0
37,-0.10200000000000001,2,1,0,0
38,-0.11600000000000002,16,1,0,0
39,-0.10300000000000001,3,1,0,0
40,-0.10500000000000001,5,1,0,0
41,-0.10700000000000001,7,1,0,0
42,-2.113999999999999,14,1,0,0
43,-0.10300000000000001,3,1,0,0
44,-3.1199999999999988,20,1,0,0
45,-0.10300000000000001,3,1,0,0
46,-0.10900000000000001,9,1,0,0
47,-0.10200000000000001,2,1,0,0
48,-0.10800000000000001,8,1,0,0
49,-2.1079999999999997,8,1,0,0
50,-0.10700000000000001,7,1,0,0
51,-0.10600000000000001,6,1,0,0
52,-0.10600000000000001,6,1,0,0
53,-2.112999999999999,13,1,0,0
54,-0.11300000000000002,13,1,0,0
55,-0.101,1,1,0,0
56,-0.101,1,1,0,0
57,-0.10300000000000001,3,1,0,0
58,-0.10700000000000001,7,1,0,0
59,-0.10200000000000001,2,1,0,0
60,-0.101,1,1,0,0
61,-0.101,1,1,0,0
62,-1.1099999999999997,10,1,0,0
63,-0.10900000000000001,9,1,0,0
64,-0.10200000000000001,2,1,0,0
65,-0.11400000000000002,14,1,0,0
66,-0.101,1,1,0,0
67,-0.10200000000000001,2,1,0,0
68,-0.101,1,1,0,0
69,-0.10500000000000001,5,1,0,0
70,-0.11100000000000002,11,1,0,0
71,-2.1219999999999994,22,1,0,0
72,-0.10700000000000001,7,1,0,0
73,-0.10500000000000001,5,1,0,0
74,-1.1069999999999998,7,1,0,0
75,-0.10300000000000001,3,1,0,0
76,-0.101,1,1,0,0
77,-0.11100000000000002,11,1,0,0
78,-0.10900000000000001,9,1,0,0
79,-0.101,1,1,0,0
80,-0.11500000000000002,15,1,0,0
81,-0.10300000000000001,3,1,0,0
82,-0.10700000000000001,7,1,0,0
83,-0.10500000000000001,5,1,0,0
84,-0.10400000000000001,4,1,0,0
85,-0.101,1,1,0,0
86,-0.10500000000000001,5,1,0,0
87,-2.1109999999999993,11,1,0,0
88,-0.11300000000000002,13,1,0,0
89,-2.1049999999999995,5,1,0,0
90,-1.1109999999999995,11,1,0,0
91,-0.10900000000000001,9,1,0,0
92,-0.10900000000000001,9,1,0,0
93,-0.101,1,1,0,0
94,-0.101,1,1,0,0
95,-0.101,1,1,0,0
96,-0.101,1,1,0,0
97,-0.11300000000000002,13,1,0,0
98,-0.10300000000000001,3,1,0,0
99,-0.10900000000000001,9,1,0,0
100,-1.1339999999999968,34,1,0,0
101,-1.1079999999999994,8,1,0,0
102,-0.11200000000000002,12,1,0,0
103,-1.1089999999999995,9,1,0,0
104,-0.10300000000000001,3,1,0,0
105,-0.101,1,1,0,0
106,-0.101,1,1,0,0
107,-0.10400000000000001,4,1,0,0
108,-0.10300000000000001,3,1,0,0
109,-0.10200000000000001,2,1,0,0
110,-0.101,1,1,0,0
111,-0.10200000000000001,2,1,0,0
112,-0.10200000000000001,2,1,0,0
113,-0.10300000000000001,3,1,0,0
114,-0.13200000000000003,32,1,0,0
115,-0.10200000000000001,2,1,0,0
116,-0.10200000000000001,2,1,0,0
117,-0.12900000000000003,29,1,0,0
118,-0.11700000000000002,17,1,0,0
119,-0.11000000000000001,10,1,0,0
120,-0.10800000000000001,8,1,0,0
121,-0.10300000000000001,3,1,0,0
122,-0.10300000000000001,3,1,0,0
123,-0.101,1,1,0,0
124,-0.10400000000000001,4,1,0,0
125,-0.10700000000000001,7,1,0,0
126,-0.101,1,1,0,0
127,-0.11100000000000002,11,1,0,0
128,-0.10900000000000001,9,1,0,0
129,-0.101,1,1,0,0
130,-0.10500000000000001,5,1,0,0
131,-0.101,1,1,0,0
132,-0.10300000000000001,3,1,0,0
133,-0.10900000000000001,9,1,0,0
134,-2.1629999999999976,63,1,0,0
135,-0.101,1,1,0,0
