episode,reward,length,chains_broken,chain_progressed,chains_completed,Value,Step,Wall time
1,-0.101,1,1,0,0,,,
2,-0.10300000000000001,3,1,0,0,,,
3,-2.116999999999998,17,1,0,0,,,
4,-0.101,1,1,0,0,,,
5,-0.101,1,1,0,0,,,
6,-0.10400000000000001,4,1,0,0,,,
7,-0.10300000000000001,3,1,0,0,,,
8,-0.10200000000000001,2,1,0,0,,,
9,-0.10300000000000001,3,1,0,0,,,
10,-0.10200000000000001,2,1,0,0,,,
11,-4.119,19,1,0,0,,,
12,-0.10600000000000001,6,1,0,0,,,
13,-20.208000000000016,108,1,0,0,,,
14,-4.114999999999999,15,1,0,0,,,
15,-1.1079999999999997,8,1,0,0,,,
16,-0.10600000000000001,6,1,0,0,,,
17,-0.10700000000000001,7,1,0,0,,,
18,-0.10400000000000001,4,1,0,0,,,
19,-0.10300000000000001,3,1,0,0,,,
20,-0.10200000000000001,2,1,0,0,,,
21,-10.125999999999998,26,1,0,0,,,
22,-1.1079999999999994,8,1,0,0,,,
23,-0.10500000000000001,5,1,0,0,,,
24,-0.10200000000000001,2,1,0,0,,,
25,-1.1079999999999994,8,1,0,0,,,
26,-0.101,1,1,0,0,,,
27,-0.10300000000000001,3,1,0,0,,,
28,-0.10300000000000001,3,1,0,0,,,
29,-0.10400000000000001,4,1,0,0,,,
30,-0.101,1,1,0,0,,,
31,-1.1069999999999998,7,1,0,0,,,
32,-1.1099999999999994,10,1,0,0,,,
33,-0.101,1,1,0,0,,,
34,-0.10600000000000001,6,1,0,0,,,
35,-3.108999999999999,9,1,0,0,,,
36,-1.1189999999999984,19,1,0,0,,,
37,-0.10200000000000001,2,1,0,0,,,
38,-0.101,1,1,0,0,,,
39,-0.11100000000000002,11,1,0,0,,,
40,-1.1189999999999996,19,1,0,0,,,
41,-0.101,1,1,0,0,,,
42,-0.10300000000000001,3,1,0,0,,,
43,-0.10400000000000001,4,1,0,0,,,
44,-0.101,1,1,0,0,,,
45,-0.101,1,1,0,0,,,
46,-0.10400000000000001,4,1,0,0,,,
47,-0.11400000000000002,14,1,0,0,,,
48,-1.1219999999999979,22,1,0,0,,,
49,-0.101,1,1,0,0,,,
50,-0.11400000000000002,14,1,0,0,,,
51,-0.11400000000000002,14,1,0,0,,,
52,-0.10800000000000001,8,1,0,0,,,
53,-1.1099999999999997,10,1,0,0,,,
